Date,BTC,ETH,LTC,XVG,GRC,BAT,XRP,DASH,SC,DOGE,ADA,MIOTA,MAID,XMR,FCT,BTS,PPC,NMC,LSK,KMD,DERO
2018-01-01,11372.470703125,643.3849487304688,190.71780395507812,0.13001200556755066,0.1164809986948967,0.39603498578071594,1.9910320043563843,877.6583862304688,0.02562200091779232,0.007418000139296055,0.6067590117454529,3.3095180988311768,0.9233319759368896,298.9341125488281,53.96535873413086,0.6399660110473633,3.823357105255127,3.268481969833374,17.593639373779297,8.10041618347168,
2018-01-02,12421.9384765625,733.3089599609375,211.99237060546875,0.12014299631118774,0.1135760024189949,0.4670430123806,2.056960105895996,1009.6343383789062,0.025472000241279602,0.007581999991089106,0.6488569974899292,3.313282012939453,0.9131330251693726,317.8981628417969,50.044273376464844,0.6572080254554749,4.503798007965088,3.6822729110717773,18.200729370117188,8.64505386352539,
2018-01-03,12656.9521484375,801.5986328125,204.30308532714844,0.12091699987649918,0.13213199377059937,0.542231023311615,2.5856540203094482,974.8043212890625,0.02743699960410595,0.0077599999494850636,0.898967981338501,3.4361701011657715,0.9704499840736389,343.09991455078125,55.2626953125,0.7426239848136902,4.778442859649658,3.8153369426727295,17.485929489135742,8.33588695526123,
2018-01-04,12928.228515625,812.9636840820312,200.0414276123047,0.1319279968738556,0.13114599883556366,0.5255470275878906,2.649286985397339,1019.2192993164062,0.03241200000047684,0.007992999628186226,0.923354983329773,3.383316993713379,0.8976380228996277,334.0361328125,55.22045135498047,0.6986889839172363,4.57056188583374,3.8899970054626465,17.78791618347168,7.790733814239502,
2018-01-05,14490.771484375,829.497802734375,207.2422637939453,0.15057699382305145,0.12076599895954132,0.45966199040412903,2.5346779823303223,958.1061401367188,0.05832400172948837,0.010115999728441238,0.8310269713401794,3.121424913406372,0.8582310080528259,320.03326416015625,52.16128921508789,0.6448659896850586,4.723577976226807,4.042275905609131,20.087047576904297,7.036332130432129,
2018-01-06,14571.83203125,866.0459594726562,246.46990966796875,0.14481499791145325,0.15421199798583984,0.5519660115242004,2.572305917739868,1051.7376708984375,0.07815799862146378,0.012357000261545181,0.8539659976959229,3.2775440216064453,0.8598099946975708,376.4308166503906,53.08513259887695,0.692654013633728,5.280603885650635,4.254148960113525,25.969987869262695,7.902378082275391,
2018-01-07,13689.125,958.0211181640625,239.63694763183594,0.15116499364376068,0.14689800143241882,0.6299189925193787,2.8061890602111816,1067.8990478515625,0.07616200298070908,0.014196000061929226,0.8378499746322632,3.3817059993743896,0.9630560278892517,381.5992431640625,59.29849624633789,0.6788979768753052,5.344470977783203,4.719472885131836,28.33995246887207,9.185676574707031,
2018-01-08,12674.4921875,959.5872802734375,213.6878662109375,0.14903900027275085,0.13832999765872955,0.7086510062217712,2.052143096923828,908.8060913085938,0.06568700075149536,0.012570000253617764,0.7511090040206909,3.2131760120391846,0.8914700150489807,338.43597412109375,63.555850982666016,0.6385300159454346,5.226618766784668,4.769704818725586,26.151641845703125,8.090299606323242,
2018-01-09,12237.27734375,1089.7459716796875,207.12417602539062,0.1643819957971573,0.16835300624370575,0.7478510141372681,1.7622029781341553,932.2210083007812,0.06423299759626389,0.011251999996602535,0.6831079721450806,2.9656829833984375,0.9406560063362122,346.55322265625,57.50238800048828,0.5772929787635803,5.732748985290527,4.73472785949707,25.07780647277832,7.568190097808838,
2018-01-10,12524.7177734375,1050.455810546875,209.5508270263672,0.1410599946975708,0.1572819948196411,0.6709949970245361,1.6519620418548584,925.4370727539062,0.057562001049518585,0.01095999963581562,0.6634219884872437,3.1651110649108887,0.9021409749984741,341.0631408691406,55.719112396240234,0.530007004737854,5.5941948890686035,4.62880802154541,24.419740676879883,7.076086044311523,
2018-01-11,11133.4609375,959.16455078125,190.4875030517578,0.11981599777936935,0.13296400010585785,0.5424860119819641,1.620131015777588,837.0401000976562,0.05381200090050697,0.009525000117719173,0.5717229843139648,2.7965540885925293,0.753682017326355,295.31768798828125,47.65742111206055,0.4825350046157837,5.681089878082275,4.214923858642578,20.975168228149414,6.033253192901611,
2018-01-12,11465.146484375,1044.1199951171875,194.2397918701172,0.13037599623203278,0.13974200189113617,0.6085370182991028,1.6756030321121216,865.072998046875,0.05364599823951721,0.010707000270485878,0.736024022102356,3.0269229412078857,0.801243007183075,323.7518310546875,51.16712951660156,0.5323010087013245,6.592528820037842,5.30623197555542,24.135395050048828,6.846776962280273,
2018-01-13,11776.447265625,1145.1697998046875,212.5578155517578,0.1285260021686554,0.13818000257015228,0.6265149712562561,1.6576590538024902,902.2962036132812,0.05286800116300583,0.0106800002977252,0.7250480055809021,3.228621006011963,0.8968999981880188,344.4759521484375,51.035919189453125,0.5156750082969666,7.424479007720947,6.013227939605713,24.065031051635742,7.515318870544434,
2018-01-14,11297.78515625,1121.2222900390625,195.7957305908203,0.11339099705219269,0.13869799673557281,0.5433629751205444,1.526816964149475,831.8867797851562,0.04883499816060066,0.009584999643266201,0.6581310033798218,3.0644218921661377,0.8018839955329895,327.7432556152344,52.77850341796875,0.4551149904727936,6.726438999176025,5.6422810554504395,22.736339569091797,6.689056873321533,
2018-01-15,11267.671875,1053.3387451171875,189.78720092773438,0.09499900043010712,0.11485899984836578,0.5622249841690063,1.3670849800109863,765.748046875,0.04605399817228317,0.008036999963223934,0.6348040103912354,2.839193105697632,0.8331019878387451,338.0106201171875,48.0213623046875,0.42384499311447144,6.16426420211792,5.034887790679932,21.941377639770508,6.458996772766113,
