Date,BTC,ETH,LTC,XRP,DASH,SC,DOGE
2018-01-01,11372.470703125,643.3849487304688,190.71780395507812,1.9910320043563843,877.6583862304688,0.02562200091779232,0.007418000139296055
2018-01-02,12421.9384765625,733.3089599609375,211.99237060546875,2.056960105895996,1009.6343383789062,0.025472000241279602,0.007581999991089106
2018-01-03,12656.9521484375,801.5986328125,204.30308532714844,2.5856540203094482,974.8043212890625,0.02743699960410595,0.0077599999494850636
2018-01-04,12928.228515625,812.9636840820312,200.0414276123047,2.649286985397339,1019.2192993164062,0.03241200000047684,0.007992999628186226
2018-01-05,14490.771484375,829.497802734375,207.2422637939453,2.5346779823303223,958.1061401367188,0.05832400172948837,0.010115999728441238
2018-01-06,14571.83203125,866.0459594726562,246.46990966796875,2.572305917739868,1051.7376708984375,0.07815799862146378,0.012357000261545181
2018-01-07,13689.125,958.0211181640625,239.63694763183594,2.8061890602111816,1067.8990478515625,0.07616200298070908,0.014196000061929226
2018-01-08,12674.4921875,959.5872802734375,213.6878662109375,2.052143096923828,908.8060913085938,0.06568700075149536,0.012570000253617764
2018-01-09,12237.27734375,1089.7459716796875,207.12417602539062,1.7622029781341553,932.2210083007812,0.06423299759626389,0.011251999996602535
2018-01-10,12524.7177734375,1050.455810546875,209.5508270263672,1.6519620418548584,925.4370727539062,0.057562001049518585,0.01095999963581562
2018-01-11,11133.4609375,959.16455078125,190.4875030517578,1.620131015777588,837.0401000976562,0.05381200090050697,0.009525000117719173
2018-01-12,11465.146484375,1044.1199951171875,194.2397918701172,1.6756030321121216,865.072998046875,0.05364599823951721,0.010707000270485878
2018-01-13,11776.447265625,1145.1697998046875,212.5578155517578,1.6576590538024902,902.2962036132812,0.05286800116300583,0.0106800002977252
2018-01-14,11297.78515625,1121.2222900390625,195.7957305908203,1.526816964149475,831.8867797851562,0.04883499816060066,0.009584999643266201
2018-01-15,11267.671875,1053.3387451171875,189.78720092773438,1.3670849800109863,765.748046875,0.04605399817228317,0.008036999963223934
2018-01-16,9364.7109375,858.7529907226562,153.48899841308594,0.961076021194458,619.0831298828125,0.02964800037443638,0.0055599999614059925
2018-01-17,9186.796875,832.7859497070312,153.1455841064453,1.0726170539855957,651.587158203125,0.03965599834918976,0.006279999855905771
2018-01-18,9380.283203125,847.1184692382812,157.63671875,1.3051420450210571,682.9796752929688,0.0422540009021759,0.006513999775052071
2018-01-19,9498.69140625,850.3273315429688,157.90835571289062,1.2700899839401245,692.4426879882812,0.03995399922132492,0.0064409999176859856
2018-01-20,10555.810546875,945.2946166992188,172.6824951171875,1.2918330430984497,757.8731079101562,0.04141800105571747,0.006912999786436558
2018-01-21,9464.8330078125,856.3804931640625,155.36961364746094,1.1260119676589966,667.6517333984375,0.03522999957203865,0.005818000063300133
2018-01-22,8919.2236328125,818.5868530273438,146.8733673095703,1.107498049736023,622.7145385742188,0.03195599839091301,0.005493999924510717
2018-01-23,8831.072265625,801.3561401367188,144.476318359375,1.0864299535751343,615.3742065429688,0.0315530002117157,0.005421999841928482
2018-01-24,9167.4609375,854.4750366210938,145.25624084472656,1.0952709913253784,625.542724609375,0.032017000019550323,0.005716000217944384
2018-01-25,9086.7568359375,852.2556762695312,145.48623657226562,1.0590189695358276,642.1233520507812,0.03328799828886986,0.006186999846249819
2018-01-26,8995.41015625,849.6417236328125,142.30935668945312,0.9801669716835022,630.0112915039062,0.032166000455617905,0.005826999898999929
2018-01-27,9212.255859375,891.4324340820312,145.6526336669922,0.9816489815711975,623.111328125,0.03311700001358986,0.0059369998052716255
2018-01-28,9482.90234375,1002.502197265625,155.97796630859375,1.1260759830474854,653.5054931640625,0.03629299998283386,0.006006000097841024
2018-01-29,9124.7177734375,955.0565185546875,146.73989868164062,1.0694429874420166,620.1017456054688,0.033167000859975815,0.005628000013530254
2018-01-30,8144.98681640625,863.257568359375,133.20115661621094,0.917602002620697,545.5431518554688,0.026802999898791313,0.004854999948292971
2018-01-31,8232.2001953125,900.7007446289062,131.56491088867188,0.9362030029296875,561.7420654296875,0.02731199935078621,0.0048409998416900635
2018-02-01,7331.15380859375,828.8352661132812,113.75569152832031,0.7694699764251709,493.27764892578125,0.022471999749541283,0.004019999876618385
2018-02-02,7087.279296875,734.9799194335938,105.44060516357422,0.710099995136261,471.01123046875,0.02197599969804287,0.0035910001024603844
2018-02-03,7363.4912109375,773.6909790039062,128.61155700683594,0.7416080236434937,511.5345153808594,0.023372000083327293,0.004145000129938126
2018-02-04,6650.33740234375,670.6427612304688,118.93379211425781,0.6553940176963806,441.880126953125,0.019047999754548073,0.003533999901264906
2018-02-05,5624.9658203125,564.4569091796875,101.35867309570312,0.5594819784164429,365.0853271484375,0.014592000283300877,0.0028570001013576984
2018-02-06,6263.833984375,640.6995849609375,115.51094055175781,0.6271860003471375,426.9335021972656,0.018407000228762627,0.0035230000503361225
2018-02-07,6211.83447265625,617.0576171875,112.6440658569336,0.5900200009346008,425.4527587890625,0.016429999843239784,0.0035019998904317617
2018-02-08,6741.91650390625,667.0530395507812,121.91354370117188,0.6568210124969482,493.4787902832031,0.01800600066781044,0.0037239999510347843
2018-02-09,7142.140625,722.525146484375,134.02272033691406,0.7802079916000366,521.3912963867188,0.02029399946331978,0.0040870001539587975
2018-02-10,7048.06689453125,703.3556518554688,127.19120788574219,0.8752880096435547,518.3487548828125,0.01976799964904785,0.0040790000930428505
2018-02-11,6636.71044921875,665.028564453125,121.62449645996094,0.8197219967842102,473.4832763671875,0.018022000789642334,0.004046000074595213
